Saint Joseph,IN,1.011e+05
Saint Joseph,MI,1.147e+05
Mercer,NJ,2.267e+05
Mercer,PA,1.088e+05
Ashtabula,OH,85000
Norfolk,MA,4.478e+05
Campbell,KY,1.436e+05
Campbell,TN,1.056e+05
Campbell,VA,1.486e+05
Pinellas,FL,1.896e+05
Contra Costa,CA,5.623e+05
Obion,TN,65800
Adams,CO,2.84e+05
Adams,IN,1.013e+05
Adams,ND,86700
Adams,WA,1.368e+05
Tulare,CA,1.828e+05
Bell,KY,78300
Bell,TX,1.193e+05
San Luis Obispo,CA,5.585e+05
Alexandria City,VA,5.127e+05
Wilcox,GA,87600
Scioto,OH,76000
Oglethorpe,GA,1.331e+05
El Paso,CO,2.468e+05
El Paso,TX,1.122e+05
Covington,AL,95800
Sutter,CA,2.519e+05
Camden,GA,1.518e+05
Camden,NJ,1.691e+05
La Plata,CO,3.388e+05
Pender,NC,2.132e+05
Fluvanna,VA,2.028e+05
Mecklenburg,NC,1.951e+05
Newport,RI,3.78e+05
Tuscola,MI,90100
Citrus,FL,1.382e+05
Boundary,ID,2.135e+05
Iberville,LA,1.16e+05
Cumberland,KY,93300
Cumberland,NC,1.146e+05
Cumberland,NJ,1.366e+05
Cumberland,PA,1.834e+05
Cumberland,TN,91100
George,MS,1.284e+05
Multnomah,OR,3.853e+05
Calhoun,MI,98000
Calhoun,TX,1.216e+05
Wicomico,MD,1.333e+05
Pima,AZ,1.78e+05
Davidson,NC,1.195e+05
Davidson,TN,2.224e+05
Lehigh,PA,1.83e+05
Shelby,AL,1.903e+05
Shelby,IN,1.099e+05
Shelby,KY,1.791e+05
Shelby,TN,1.098e+05
Macoupin,IL,77600
Brazos,TX,1.845e+05
Waynesboro City,VA,1.446e+05
Coconino,AZ,3.208e+05
Butts,GA,89600
West Feliciana,LA,2.32e+05
Washtenaw,MI,2.462e+05
Monterey,CA,4.982e+05
Genesee,MI,91800
Genesee,NY,1.116e+05
King,WA,5.121e+05
Santa Fe,NM,2.985e+05
Lagrange,IN,1.364e+05
Colleton,SC,1.186e+05
Burlington,NJ,2.224e+05
Pinal,AZ,1.759e+05
Smyth,VA,99300
New York,NY,1.2503e+06
Allegany,MD,76200
Cape May,NJ,3.43e+05
Latimer,OK,83300
Pontotoc,MS,98200
Elbert,CO,4.409e+05
Goochland,VA,3.131e+05
Rowan,NC,1.375e+05
West Baton Rouge,LA,1.871e+05
Flagler,FL,1.964e+05
Cecil,MD,2.143e+05
McIntosh,OK,1.118e+05
Medina,OH,1.795e+05
Medina,TX,1.652e+05
Yellowstone,MT,2.039e+05
Florence,SC,1.188e+05
Wilbarger,TX,84300
Haywood,NC,1.483e+05
Sarasota,FL,2.496e+05
Okeechobee,FL,1.167e+05
Maricopa,AZ,2.372e+05
Napa,CA,5.816e+05
Muskegon,MI,1.094e+05
Rusk,TX,1.14e+05
Bergen,NJ,4.459e+05
McHenry,IL,1.996e+05
McHenry,ND,99600
Plaquemines,LA,2.479e+05
Jones,GA,1.145e+05
Jones,MS,1.045e+05
Manatee,FL,2.422e+05
Coweta,GA,1.764e+05
Cobb,GA,2.241e+05
Fairfax City,VA,4.925e+05
Lackawanna,PA,1.255e+05
Skagit,WA,2.906e+05
Webb,TX,1.186e+05
Tippecanoe,IN,1.306e+05
Rock Island,IL,1.024e+05
Loudon,TN,1.534e+05
Brevard,FL,1.796e+05
Burke,NC,1.095e+05
Cuyahoga,OH,1.148e+05
Alamance,NC,1.332e+05
Bamberg,SC,71300
Kodiak Island,AK,2.748e+05
Bedford,TN,1.419e+05
Bedford,VA,1.737e+05
Blaine,OK,75000
Shiawassee,MI,1.13e+05
Avery,NC,1.484e+05
Arapahoe,CO,3.306e+05
Midland,MI,1.249e+05
Midland,TX,1.902e+05
Logan,CO,1.271e+05
Logan,OK,1.303e+05
Grafton,NH,1.845e+05
Saint Louis City,MO,1.155e+05
Uvalde,TX,1.08e+05
Amherst,VA,1.462e+05
Boone,AR,1.146e+05
Boone,IL,1.504e+05
Boone,IN,1.931e+05
Boone,KY,1.776e+05
Boone,MO,1.528e+05
Macomb,MI,1.529e+05
Los Angeles,CA,5.526e+05
McDuffie,GA,71000
Nevada,CA,4.073e+05
Harrisonburg City,VA,1.74e+05
Pasco,FL,1.632e+05
Bristol,MA,2.834e+05
Bristol,RI,3.275e+05
Carteret,NC,2.44e+05
Roane,TN,1.307e+05
Currituck,NC,2.493e+05
Fairbanks North Star,AK,2.155e+05
Haralson,GA,97500
Humphreys,MS,68800
Humphreys,TN,97800
Cortland,NY,1.039e+05
Jay,IN,71900
Gadsden,FL,83300
Pittsburg,OK,90300
Hunt,TX,90100
Hernando,FL,1.421e+05
Park,CO,2.531e+05
Dane,WI,2.426e+05
Manassas Park City,VA,2.686e+05
Eau Claire,WI,1.577e+05
Kenosha,WI,1.584e+05
Bartholomew,IN,1.359e+05
Spencer,IN,1.063e+05
Blue Earth,MN,1.789e+05
Dyer,TN,79000
Jackson,FL,85800
Jackson,GA,1.762e+05
Jackson,IN,1.092e+05
Jackson,LA,1.069e+05
Jackson,MI,1.189e+05
Jackson,MO,1.16e+05
Jackson,MS,1.096e+05
Jackson,OH,85300
Jackson,OR,2.526e+05
Calaveras,CA,2.717e+05
Monroe,FL,5.583e+05
Monroe,IN,1.588e+05
Monroe,MI,1.501e+05
Monroe,MS,80100
Monroe,NY,1.345e+05
Monroe,TN,1.291e+05
Coryell,TX,90100
Frederick,MD,2.877e+05
Frederick,VA,2.312e+05
Saint Tammany,LA,1.87e+05
Williams,OH,93700
Allegan,MI,1.569e+05
Mesa,CO,1.992e+05
Boulder,CO,4.828e+05
Chesterfield,VA,2.15e+05
Rapides,LA,1.454e+05
Vance,NC,92500
Dewitt,IL,79900
Henrico,VA,2.127e+05
Erie,OH,1.269e+05
Erie,PA,1.2e+05
Mariposa,CA,2.451e+05
Norfolk City,VA,1.745e+05
Emmons,ND,1.391e+05
Lane,OR,2.441e+05
Monmouth,NJ,3.84e+05
Lynchburg City,VA,1.257e+05
Northampton,PA,1.858e+05
Bossier,LA,1.678e+05
Belknap,NH,2.07e+05
Warren,IN,82200
Warren,KY,1.607e+05
Warren,MS,1.217e+05
Warren,NJ,2.156e+05
Warren,NY,1.973e+05
Warren,OH,1.979e+05
Warren,TN,81000
Warren,VA,2.144e+05
Kenai Peninsula,AK,2.164e+05
Claiborne,LA,88400
Claiborne,TN,89700
Elkhart,IN,1.295e+05
Carbon,PA,1.355e+05
Butler,OH,1.555e+05
Butler,PA,2.011e+05
Westmoreland,PA,1.275e+05
Westmoreland,VA,1.927e+05
Maury,TN,1.537e+05
Inyo,CA,2.955e+05
Riverside,CA,3.331e+05
Gaston,NC,1.219e+05
Queen Annes,MD,3.096e+05
Ellis,TX,1.775e+05
Schuylkill,PA,74600
Allegheny,PA,1.37e+05
Pottawatomie,OK,98000
Fairfax,VA,5.21e+05
McKean,PA,73700
Dickinson,KS,95500
Bay,FL,1.846e+05
Bay,MI,87800
Staunton City,VA,1.445e+05
Graham,AZ,1.407e+05
Blackford,IN,62700
Lancaster,NE,1.56e+05
Lancaster,PA,1.898e+05
Lancaster,SC,1.452e+05
Colquitt,GA,82700
Independence,AR,99900
Rensselaer,NY,1.703e+05
Saratoga,NY,2.523e+05
Lake,FL,1.866e+05
Lake,IL,2.328e+05
Lake,IN,1.272e+05
Lake,OH,1.387e+05
Rhea,TN,1.218e+05
Willacy,TX,59800
Saint Helena,LA,1.313e+05
Gila,AZ,1.838e+05
Beaver,PA,1.318e+05
Polk,FL,1.538e+05
Polk,GA,84200
Polk,MO,1.314e+05
Polk,OR,2.434e+05
Polk,TX,1.276e+05
Polk,WI,1.65e+05
Saint Marys,MD,2.624e+05
La Paz,AZ,1.251e+05
Travis,TX,3.01e+05
Placer,CA,4.376e+05
Gordon,GA,1.196e+05
La Salle,IL,1.004e+05
La Salle,LA,78200
Collier,FL,3.37e+05
Nantucket,MA,1.4076e+06
Wythe,VA,1.206e+05
Garrett,MD,1.393e+05
Clear Creek,CO,2.855e+05
Luzerne,PA,1.053e+05
Dakota,MN,2.549e+05
Gulf,FL,1.664e+05
Poquoson City,VA,2.996e+05
Henderson,KY,1.26e+05
Henderson,NC,2.197e+05
Henderson,TX,1.48e+05
Northumberland,PA,91500
Rush,IN,88300
Berks,PA,1.668e+05
Coshocton,OH,93100
Madera,CA,2.175e+05
Terrebonne,LA,1.435e+05
Cook,IL,2.089e+05
Winchester City,VA,2.226e+05
Clay,FL,1.722e+05
Clay,IN,93500
Clay,MN,1.794e+05
Clay,MO,1.487e+05
Clay,MS,82700
Winnebago,IL,98800
Winnebago,WI,1.534e+05
Skamania,WA,2.531e+05
Hutchinson,TX,71900
Jerome,ID,1.325e+05
Starr,TX,81500
Harford,MD,2.605e+05
Wilson,NC,1.215e+05
Wilson,TN,2.509e+05
Wilson,TX,2.153e+05
Hampshire,MA,2.546e+05
Kent,DE,1.755e+05
